skill,type
Acceleration,Physical
SprintSpeed,Physical
Agility,Physical
Balance,Physical
Reactions,Physical
Jumping,Physical
Stamina,Physical
Strength,Physical
Positioning,Mental
Vision,Mental
Composure,Mental
Interceptions,Mental
Aggression,Mental
Finishing,Technical
LongShots,Technical
Penalties,Technical
ShotPower,Technical
Volleys,Technical
Crossing,Technical
Curve,Technical
FKAccuracy,Technical
LongPassing,Technical
ShortPassing,Technical
BallControl,Technical
Dribbling,Technical
HeadingAccuracy,Technical
Marking,Technical
SlidingTackle,Technical
StandingTackle,Technical
GKDiving,Goalkeeper
GKHandling,Goalkeeper
GKKicking,Goalkeeper
GKPositioning,Goalkeeper
GKReflexes,Goalkeeper
